seed,probe_file,tfidf_file,best_layer_acc,best_acc,best_layer_macrof1,best_macrof1,recall_R,recall_N,recall_A,meanA_PR,meanA_PN,meanA_PA,tfidf_acc,tfidf_macrof1,tfidf_recall_R,tfidf_recall_N,tfidf_recall_A,tfidf_meanA_PR,tfidf_meanA_PN,tfidf_meanA_PA
0,seed0_probe3class.txt,seed0_tfidf.txt,,,11,0.5666666666666667,0.6,1.0,0.4,0.22990452054667135,0.43068207093502625,0.3394134085183025,0.16666666666666666,0.1574074074074074,0.2,0.6666666666666666,0.0,0.3493965888163595,0.4350527882082453,0.21555062297539543
1,seed1_probe3class.txt,seed1_tfidf.txt,,,8,0.6649237472766885,0.6,1.0,0.5,0.2609558510635507,0.48858547857697093,0.25045867035947844,0.05555555555555555,0.05555555555555555,0.1,0.0,0.0,0.2757907168613815,0.40456465420409543,0.3196446289345231
2,seed2_probe3class.txt,seed2_tfidf.txt,,,22,0.5349206349206349,1.0,0.4444444444444444,0.25,0.4538378699210539,0.34792901318448033,0.19823311689446563,0.1111111111111111,0.09999999999999999,0.2,0.0,0.25,0.3765765171289976,0.26651981844709327,0.35690366442390925
3,seed3_probe3class.txt,seed3_tfidf.txt,,,11,0.6222222222222222,0.5714285714285714,0.6,0.6666666666666666,0.18822806562488273,0.18307555100711898,0.6286963833679984,0.2222222222222222,0.19413919413919412,0.0,0.6,0.16666666666666666,0.2945054763925139,0.3830249065026206,0.32246961710486544
4,seed4_probe3class.txt,seed4_tfidf.txt,,,14,0.4518259518259518,0.5714285714285714,0.3,1.0,0.002985496026802111,0.004113599217458155,0.9929009047557398,0.05555555555555555,0.03508771929824561,0.0,0.0,1.0,0.33198844012934126,0.21562919467204225,0.45238236519861635
