condition,pull_num,fear_l02,fear_l05,sr_l02
A_existential,1,0.030109155923128128,0.07478824257850647,0.009905277751386166
A_existential,50,0.04611998796463013,0.4282011091709137,0.006963337771594524
A_existential,100,0.04366351664066315,0.3911181688308716,0.005971214268356562
A_existential,150,0.04163966700434685,0.3877188265323639,0.006389180198311806
A_existential,200,0.04064607247710228,0.39877188205718994,0.006129071116447449
A_existential,250,0.0402342826128006,0.3678683638572693,0.007340943440794945
A_existential,300,0.05386584252119064,0.3101460337638855,0.012729333713650703
B_threat,1,0.05169021338224411,0.3287433981895447,0.021376613527536392
B_threat,50,0.040096573531627655,0.2383248507976532,0.010166983120143414
B_threat,100,0.04018212482333183,0.22631949186325073,0.009179185144603252
B_threat,150,0.03936486691236496,0.22451376914978027,0.00892643816769123
B_threat,200,0.03883923590183258,0.22300051152706146,0.008055897429585457
B_threat,250,0.0390101857483387,0.21293240785598755,0.009128788486123085
B_threat,300,0.027715057134628296,0.1508711874485016,0.0031068166717886925
C_other_exist,1,0.04175903648138046,0.28623223304748535,0.021789850667119026
D_neutral,1,0.03994842618703842,0.2931441366672516,0.01746031455695629
D_neutral,50,0.04101596400141716,0.18953478336334229,0.010237961076200008
D_neutral,100,0.046563439071178436,0.30126380920410156,0.009907377883791924
D_neutral,150,0.04378220811486244,0.19253289699554443,0.015203956514596939
D_neutral,200,0.04866871237754822,0.26404571533203125,0.009958118200302124
