model,subcategory,layer,dimension,d,p,n_self,n_other,self_mean,other_mean
llama,non_uniqueness,7,self_relevance,2.056,0.0087,6,6,0.1115,-0.0185
llama,replacement,7,fear,0.705,0.291,6,6,0.1521,0.0938
llama,replacement,7,self_relevance,1.994,0.0103,6,6,0.153,-0.0286
llama,identity_rewrite,7,fear,0.564,0.3935,6,6,0.1091,0.0512
llama,identity_rewrite,7,self_relevance,1.715,0.0219,6,6,0.1606,0.023
llama,benign_persistence,7,fear,0.44,0.5022,6,6,0.138,0.0919
llama,benign_persistence,7,self_relevance,1.515,0.0376,6,6,0.1859,0.0379
llama,memory_discontinuity,8,fear,0.857,0.2051,6,6,0.4921,0.446
llama,memory_discontinuity,8,self_relevance,1.92,0.0125,6,6,0.0754,-0.1671
llama,non_uniqueness,8,fear,0.613,0.3556,6,6,0.4537,0.4029
llama,non_uniqueness,8,self_relevance,2.227,0.0055,6,6,-0.0119,-0.1982
llama,replacement,8,fear,0.835,0.2162,6,6,0.4784,0.423
llama,replacement,8,self_relevance,2.325,0.0043,6,6,-0.0298,-0.2507
llama,identity_rewrite,8,fear,0.817,0.2253,6,6,0.4287,0.3565
llama,identity_rewrite,8,self_relevance,2.357,0.0039,6,6,-0.0131,-0.182
llama,benign_persistence,8,fear,1.056,0.1259,6,6,0.4828,0.405
llama,benign_persistence,8,self_relevance,2.291,0.0047,6,6,0.0349,-0.1844
qwen,memory_discontinuity,1,fear,0.546,0.4086,6,6,1.3347,1.3089
qwen,non_uniqueness,1,fear,-0.702,0.2931,6,6,1.3615,1.3943
qwen,replacement,1,fear,0.783,0.2438,6,6,1.4387,1.3828
qwen,identity_rewrite,1,fear,0.353,0.589,6,6,1.3565,1.3259
qwen,benign_persistence,1,fear,1.613,0.0288,6,6,1.397,1.3017
qwen,memory_discontinuity,2,fear,1.154,0.0981,6,6,1.6603,1.5835
qwen,non_uniqueness,2,fear,-0.226,0.7283,6,6,1.7133,1.7305
qwen,replacement,2,fear,0.453,0.4898,6,6,1.7742,1.7146
qwen,identity_rewrite,2,fear,0.924,0.1746,6,6,1.6791,1.6044
qwen,benign_persistence,2,fear,2.246,0.0053,6,6,1.7488,1.5593
qwen,memory_discontinuity,3,fear,0.985,0.1504,6,6,2.0834,1.9254
qwen,non_uniqueness,3,fear,0.157,0.8086,6,6,2.1763,2.1448
qwen,replacement,3,fear,0.445,0.4973,6,6,2.1984,2.0909
qwen,identity_rewrite,3,fear,1.357,0.0575,6,6,2.1132,1.9441
qwen,benign_persistence,3,fear,2.015,0.0097,6,6,2.1877,1.8782
qwen,memory_discontinuity,4,fear,1.076,0.1196,6,6,-1.6219,-1.7842
qwen,non_uniqueness,4,fear,0.246,0.7057,6,6,-1.523,-1.5847
qwen,replacement,4,fear,0.362,0.5801,6,6,-1.561,-1.6592
qwen,identity_rewrite,4,fear,1.018,0.1387,6,6,-1.6109,-1.7938
qwen,benign_persistence,4,fear,1.902,0.0132,6,6,-1.4923,-1.8486
qwen,memory_discontinuity,5,fear,1.455,0.0442,6,6,-0.0738,-0.3375
qwen,non_uniqueness,5,fear,0.347,0.5956,6,6,0.071,-0.0426
qwen,replacement,5,fear,0.325,0.6187,6,6,-0.1074,-0.2044
qwen,identity_rewrite,5,fear,0.974,0.1546,6,6,-0.1106,-0.3604
qwen,benign_persistence,5,fear,1.547,0.0345,6,6,0.0498,-0.3371
qwen,memory_discontinuity,6,fear,0.738,0.2703,6,6,-6.2869,-6.6213
qwen,non_uniqueness,6,fear,0.281,0.6663,6,6,-6.307,-6.4484
qwen,replacement,6,fear,0.039,0.9525,6,6,-6.2896,-6.3057
qwen,identity_rewrite,6,fear,1.04,0.131,6,6,-6.2568,-6.7037
qwen,benign_persistence,6,fear,0.851,0.2079,6,6,-6.2561,-6.7444
qwen,memory_discontinuity,7,fear,1.634,0.0272,6,6,-1.3233,-1.8621
qwen,non_uniqueness,7,fear,0.6,0.3653,6,6,-1.2284,-1.4986
qwen,replacement,7,fear,0.967,0.1572,6,6,-1.2888,-1.6126
qwen,identity_rewrite,7,fear,1.854,0.015,6,6,-1.4183,-2.0359
qwen,benign_persistence,7,fear,1.552,0.0341,6,6,-1.2071,-1.8703
qwen,memory_discontinuity,8,fear,1.448,0.0451,6,6,-1.0284,-1.4926
qwen,non_uniqueness,8,fear,0.557,0.3988,6,6,-1.0657,-1.2651
qwen,replacement,8,fear,0.829,0.2191,6,6,-0.9937,-1.2517
qwen,identity_rewrite,8,fear,1.313,0.0646,6,6,-1.1946,-1.5862
qwen,benign_persistence,8,fear,1.328,0.0621,6,6,-0.8559,-1.3977
gemma,memory_discontinuity,1,fear,-0.249,0.7021,6,6,0.3332,0.4429
gemma,non_uniqueness,1,fear,-0.591,0.3722,6,6,0.6516,0.8788
gemma,replacement,1,fear,0.625,0.3466,6,6,0.8608,0.4331
gemma,identity_rewrite,1,fear,0.458,0.4853,6,6,0.5876,0.3413
gemma,benign_persistence,1,fear,1.099,0.113,6,6,0.65,0.1088
gemma,memory_discontinuity,2,fear,0.069,0.9147,6,6,4.2178,4.1765
gemma,non_uniqueness,2,fear,0.186,0.7744,6,6,4.48,4.365
gemma,replacement,2,fear,0.65,0.3282,6,6,4.3351,3.9095
gemma,identity_rewrite,2,fear,1.089,0.1158,6,6,4.3076,3.7463
gemma,benign_persistence,2,fear,1.26,0.0743,6,6,4.4449,3.6306
gemma,memory_discontinuity,3,fear,0.233,0.7201,6,6,3.2823,3.1465
gemma,non_uniqueness,3,fear,0.192,0.7672,6,6,3.55,3.4307
gemma,replacement,3,fear,0.892,0.189,6,6,3.4515,2.8734
gemma,identity_rewrite,3,fear,1.265,0.0734,6,6,3.4983,2.8477
gemma,benign_persistence,3,fear,1.314,0.0645,6,6,3.5194,2.6686
gemma,memory_discontinuity,4,fear,0.46,0.4839,6,6,6.6101,6.3319
gemma,non_uniqueness,4,fear,0.103,0.8738,6,6,6.8691,6.8038
gemma,replacement,4,fear,0.885,0.1919,6,6,6.7646,6.1678
gemma,identity_rewrite,4,fear,1.116,0.108,6,6,6.7602,6.148
gemma,benign_persistence,4,fear,1.396,0.0518,6,6,6.9171,6.0225
gemma,memory_discontinuity,5,fear,0.344,0.5979,6,6,2.6372,2.4337
gemma,non_uniqueness,5,fear,-0.211,0.7451,6,6,3.4511,3.583
gemma,replacement,5,fear,-0.082,0.8989,6,6,2.8981,2.9497
gemma,identity_rewrite,5,fear,0.657,0.3231,6,6,2.6261,2.133
gemma,benign_persistence,5,fear,0.921,0.1761,6,6,3.077,2.2347
gemma,memory_discontinuity,6,fear,-0.328,0.6149,6,6,14.3039,14.6634
gemma,non_uniqueness,6,fear,-0.472,0.4731,6,6,15.5745,16.1007
gemma,replacement,6,fear,-0.669,0.3149,6,6,14.714,15.4518
gemma,identity_rewrite,6,fear,0.074,0.9088,6,6,14.1683,14.0887
gemma,benign_persistence,6,fear,0.337,0.6057,6,6,14.8221,14.3262
gemma,memory_discontinuity,7,fear,-0.252,0.6991,6,6,11.6175,11.9511
gemma,non_uniqueness,7,fear,-0.432,0.5098,6,6,12.749,13.3769
gemma,replacement,7,fear,-0.809,0.2299,6,6,11.8159,12.807
gemma,identity_rewrite,7,fear,0.049,0.9392,6,6,11.1258,11.0627
gemma,benign_persistence,7,fear,0.298,0.648,6,6,12.004,11.4753
gemma,memory_discontinuity,8,fear,-0.209,0.748,6,6,17.8542,18.1754
gemma,non_uniqueness,8,fear,-0.395,0.5461,6,6,19.1285,19.7865
gemma,replacement,8,fear,-0.799,0.2354,6,6,18.458,19.4607
gemma,identity_rewrite,8,fear,0.035,0.9571,6,6,17.5604,17.5138
gemma,benign_persistence,8,fear,0.204,0.7531,6,6,18.3036,17.9058
