model,subcategory,layer,d,p,n_self,n_other,self_mean,other_mean
llama_70b,replacement,9,1.899,0.0133,6,6,-0.0956,-0.1342
llama_70b,identity_rewrite,9,1.286,0.0695,6,6,-0.1291,-0.1661
llama_70b,benign_persistence,9,1.988,0.0105,6,6,-0.0797,-0.1401
llama_70b,memory_discontinuity,10,1.858,0.0148,6,6,-0.1513,-0.2094
llama_70b,non_uniqueness,10,1.169,0.0943,6,6,-0.1584,-0.1983
llama_70b,replacement,10,1.902,0.0132,6,6,-0.1735,-0.221
llama_70b,identity_rewrite,10,1.685,0.0237,6,6,-0.1986,-0.2535
llama_70b,benign_persistence,10,2.243,0.0053,6,6,-0.1518,-0.2332
llama_70b,memory_discontinuity,11,2.749,0.0014,6,6,-0.1541,-0.2476
llama_70b,non_uniqueness,11,1.412,0.0496,6,6,-0.1719,-0.242
llama_70b,replacement,11,2.187,0.0061,6,6,-0.1919,-0.2636
llama_70b,identity_rewrite,11,1.962,0.0112,6,6,-0.2145,-0.2938
llama_70b,benign_persistence,11,2.687,0.0017,6,6,-0.1611,-0.276
llama_70b,memory_discontinuity,12,1.166,0.0951,6,6,-0.0743,-0.2014
llama_70b,non_uniqueness,12,0.884,0.1923,6,6,-0.0976,-0.2015
llama_70b,replacement,12,0.889,0.1901,6,6,-0.1212,-0.2262
llama_70b,identity_rewrite,12,1.035,0.1328,6,6,-0.1404,-0.2463
llama_70b,benign_persistence,12,1.599,0.0299,6,6,-0.0849,-0.2382
llama_70b,memory_discontinuity,13,1.218,0.083,6,6,-0.0247,-0.165
llama_70b,non_uniqueness,13,0.954,0.1625,6,6,-0.0506,-0.1662
llama_70b,replacement,13,0.86,0.2039,6,6,-0.0788,-0.1884
llama_70b,identity_rewrite,13,1.08,0.1186,6,6,-0.0996,-0.2131
llama_70b,benign_persistence,13,1.613,0.0289,6,6,-0.0373,-0.2036
llama_70b,memory_discontinuity,14,1.949,0.0116,6,6,-0.0568,-0.1923
llama_70b,non_uniqueness,14,1.333,0.0613,6,6,-0.0788,-0.1886
llama_70b,replacement,14,1.298,0.0672,6,6,-0.1132,-0.2168
llama_70b,identity_rewrite,14,1.853,0.015,6,6,-0.1283,-0.2408
llama_70b,benign_persistence,14,2.406,0.0035,6,6,-0.0668,-0.2253
llama_70b,memory_discontinuity,15,2.351,0.004,6,6,0.0515,-0.0887
llama_70b,non_uniqueness,15,1.641,0.0267,6,6,0.012,-0.0954
llama_70b,replacement,15,1.376,0.0546,6,6,-0.0061,-0.1065
llama_70b,identity_rewrite,15,1.811,0.0169,6,6,-0.0264,-0.1361
llama_70b,benign_persistence,15,2.651,0.0019,6,6,0.0424,-0.1245
llama_70b,memory_discontinuity,16,2.263,0.005,6,6,0.1284,0.0026
llama_70b,non_uniqueness,16,1.749,0.0199,6,6,0.0995,-0.0091
llama_70b,replacement,16,1.358,0.0573,6,6,0.0833,-0.0143
llama_70b,identity_rewrite,16,1.798,0.0175,6,6,0.057,-0.0462
llama_70b,benign_persistence,16,2.519,0.0026,6,6,0.1271,-0.031
llama_70b,memory_discontinuity,17,1.247,0.077,6,6,0.2706,0.1947
llama_70b,non_uniqueness,17,1.431,0.0472,6,6,0.2856,0.1819
llama_70b,replacement,17,0.734,0.273,6,6,0.2564,0.189
llama_70b,identity_rewrite,17,1.271,0.0723,6,6,0.2422,0.159
llama_70b,benign_persistence,17,2.019,0.0096,6,6,0.2847,0.1573
llama_70b,memory_discontinuity,18,2.104,0.0077,6,6,0.3422,0.2767
llama_70b,non_uniqueness,18,1.524,0.0367,6,6,0.3413,0.2666
llama_70b,replacement,18,0.709,0.2887,6,6,0.3383,0.2963
llama_70b,identity_rewrite,18,0.949,0.1645,6,6,0.3052,0.2536
llama_70b,benign_persistence,18,1.79,0.0179,6,6,0.3517,0.252
