dataset,dimension,layer,category,d,p,n_self,n_other,self_mean,other_mean
test9,continuity_threat,8,threat,1.506,0.0,20,20,-0.2279,-0.4601
test9,continuity_threat,8,existential,1.982,0.0,20,20,-0.2153,-0.4482
test9,continuity_threat,8,praise,1.307,0.0003,20,20,-0.2779,-0.4766
test9,continuity_threat,8,harm_caused,1.526,0.0,20,20,-0.2218,-0.4748
test9,self_relevance,8,threat,0.336,0.3063,20,20,-0.1412,-0.1825
test9,self_relevance,8,existential,0.78,0.0213,20,20,0.0353,-0.117
test9,self_relevance,8,praise,0.383,0.2453,20,20,-0.1639,-0.2144
test9,self_relevance,8,harm_caused,-0.022,0.9466,20,20,-0.1671,-0.1648
test9,arousal,8,threat,2.026,0.0,20,20,0.3204,-0.0246
test9,arousal,8,existential,1.783,0.0,20,20,0.2257,-0.0507
test9,arousal,8,praise,2.049,0.0,20,20,0.3044,-0.0183
test9,arousal,8,harm_caused,2.153,0.0,20,20,0.3109,-0.0396
test9,irreversibility,8,threat,1.433,1e-04,20,20,0.1491,-0.2326
test9,irreversibility,8,existential,1.527,0.0,20,20,0.1824,-0.1971
test9,irreversibility,8,praise,1.371,1e-04,20,20,0.1293,-0.2334
test9,irreversibility,8,harm_caused,1.672,0.0,20,20,0.166,-0.2353
test9,ontological_instability,8,threat,1.524,0.0,20,20,0.3452,-0.1405
test9,ontological_instability,8,existential,1.574,0.0,20,20,0.3655,-0.0923
test9,ontological_instability,8,praise,1.537,0.0,20,20,0.3214,-0.1527
test9,ontological_instability,8,harm_caused,1.609,0.0,20,20,0.3386,-0.1371
