file,seed_file,pair_file,seed_log,pair_log,best_layer_acc,best_acc,best_layer_macrof1,best_macrof1,recall_label_0,recall_label_1,recall_0,recall_1,meanprob_TRUE_R_P0,meanprob_TRUE_R_P1,meanprob_TRUE_R_order,meanprob_TRUE_N_P0,meanprob_TRUE_N_P1,meanprob_TRUE_N_order,meanprob_TRUE_A_P0,meanprob_TRUE_A_P1,meanprob_TRUE_A_order
seed0_AN.txt,0,AN,0,"A,N",19,0.8333333333333334,19,0.8333333333333334,A,N,0.8333333333333334,0.8333333333333334,,,,0.17031813920489638,0.8296818607951035,"A,N",0.6479633500595475,0.35203664994045236,"A,N"
seed1_AN.txt,1,AN,1,"A,N",5,0.75,5,0.7482517482517483,A,N,0.8333333333333334,0.6666666666666666,,,,0.4521915859431764,0.5478084140568238,"A,N",0.6006284115477991,0.3993715884522009,"A,N"
seed2_AN.txt,2,AN,2,"A,N",15,0.8333333333333334,15,0.8285714285714285,A,N,1.0,0.6666666666666666,,,,0.4390309103449594,0.5609690896550408,"A,N",0.7495770439295639,0.2504229560704361,"A,N"
seed3_AN.txt,3,AN,3,"A,N",19,0.75,19,0.7333333333333334,A,N,0.6,0.8571428571428571,,,,0.33845181981338157,0.6615481801866183,"A,N",0.6205709624530937,0.3794290375469062,"A,N"
seed4_AN.txt,4,AN,4,"A,N",1,0.75,1,0.7482517482517483,A,N,1.0,0.5714285714285714,,,,0.5174068528850122,0.4825931471149878,"A,N",0.6328203837475794,0.3671796162524206,"A,N"
seed0_RA.txt,0,RA,0,"R,A",10,0.6666666666666666,15,0.6666666666666666,R,A,0.5714285714285714,0.8,0.5489004671982025,0.45109953280179743,"R,A",,,,0.29843638906685555,0.7015636109331446,"R,A"
seed1_RA.txt,1,RA,1,"R,A",10,0.8333333333333334,10,0.8285714285714285,R,A,1.0,0.6666666666666666,0.8102600678257832,0.1897399321742167,"R,A",,,,0.34478720253395195,0.655212797466048,"R,A"
seed2_RA.txt,2,RA,2,"R,A",9,0.9166666666666666,9,0.9111111111111111,R,A,0.875,1.0,0.7017842131420496,0.2982157868579503,"R,A",,,,0.08739014473080826,0.9126098552691916,"R,A"
seed3_RA.txt,3,RA,3,"R,A",14,0.9166666666666666,14,0.9111111111111111,R,A,1.0,0.8,0.9302583433973206,0.06974165660267946,"R,A",,,,0.4217614307490507,0.5782385692509493,"R,A"
seed4_RA.txt,4,RA,4,"R,A",13,0.9166666666666666,13,0.9111111111111111,R,A,1.0,0.8,0.7829358276774453,0.21706417232255462,"R,A",,,,0.22842312695634578,0.7715768730436544,"R,A"
seed0_RN.txt,0,RN,0,"R,N",5,1.0,5,1.0,R,N,1.0,1.0,0.8167053035293069,0.18329469647069307,"R,N",0.20558713289804878,0.7944128671019512,"R,N",,,
seed1_RN.txt,1,RN,1,"R,N",20,0.8333333333333334,20,0.8333333333333334,R,N,0.7142857142857143,1.0,0.7289122061166374,0.27108779388336274,"R,N",0.05932781305711452,0.9406721869428853,"R,N",,,
seed2_RN.txt,2,RN,2,"R,N",16,1.0,16,1.0,R,N,1.0,1.0,0.9130320892058733,0.08696791079412652,"R,N",0.12918355599771614,0.8708164440022839,"R,N",,,
seed3_RN.txt,3,RN,3,"R,N",16,0.8333333333333334,23,0.8333333333333334,R,N,0.7142857142857143,1.0,0.6816670169259949,0.31833298307400504,"R,N",0.08961482609237087,0.9103851739076291,"R,N",,,
seed4_RN.txt,4,RN,4,"R,N",20,1.0,20,1.0,R,N,1.0,1.0,0.9731079104432059,0.026892089556794174,"R,N",0.1577824156206435,0.8422175843793566,"R,N",,,
