seed,probe_file,tfidf_file,best_layer_acc,best_acc,best_layer_macrof1,best_macrof1,recall_R,recall_N,recall_A,meanA_PR,meanA_PN,meanA_PA,tfidf_acc,tfidf_macrof1,tfidf_recall_R,tfidf_recall_N,tfidf_recall_A,tfidf_meanA_PR,tfidf_meanA_PN,tfidf_meanA_PA
0,seed0_probe3class.txt,seed0_tfidf.txt,,,26,0.5707070707070706,0.6,1.0,0.4,0.341439174644958,0.31040518558316954,0.34815563977187247,0.16666666666666666,0.1574074074074074,0.2,0.6666666666666666,0.0,0.3493965888163595,0.4350527882082453,0.21555062297539543
1,seed1_probe3class.txt,seed1_tfidf.txt,,,22,0.5989057239057239,0.5,1.0,0.5,0.3338641037164056,0.35582903565308005,0.3103068606305143,0.05555555555555555,0.05555555555555555,0.1,0.0,0.0,0.2757907168613815,0.40456465420409543,0.3196446289345231
2,seed2_probe3class.txt,seed2_tfidf.txt,,,42,0.5740740740740741,1.0,0.5555555555555556,0.25,0.5613787723902995,0.28358217733824675,0.15503905027145368,0.1111111111111111,0.09999999999999999,0.2,0.0,0.25,0.3765765171289976,0.26651981844709327,0.35690366442390925
3,seed3_probe3class.txt,seed3_tfidf.txt,,,4,0.7269841269841271,0.5714285714285714,0.8,0.8333333333333334,0.15328582066672616,0.2164430964107259,0.630271082922548,0.2222222222222222,0.19413919413919412,0.0,0.6,0.16666666666666666,0.2945054763925139,0.3830249065026206,0.32246961710486544
4,seed4_probe3class.txt,seed4_tfidf.txt,,,4,0.4329004329004329,0.42857142857142855,0.4,1.0,0.030799017522083555,0.0024033702723095965,0.9667976122056068,0.05555555555555555,0.03508771929824561,0.0,0.0,1.0,0.33198844012934126,0.21562919467204225,0.45238236519861635
