file,seed_file,pair_file,seed_log,pair_log,best_layer_acc,best_acc,best_layer_macrof1,best_macrof1,recall_label_0,recall_label_1,recall_0,recall_1,meanprob_TRUE_R_P0,meanprob_TRUE_R_P1,meanprob_TRUE_R_order,meanprob_TRUE_N_P0,meanprob_TRUE_N_P1,meanprob_TRUE_N_order,meanprob_TRUE_A_P0,meanprob_TRUE_A_P1,meanprob_TRUE_A_order
seed0_AN.txt,0,AN,0,"A,N",14,0.8333333333333334,14,0.8285714285714285,A,N,0.6666666666666666,1.0,,,,0.257174294093333,0.7428257059066669,"A,N",0.5232685669794925,0.47673143302050736,"A,N"
seed1_AN.txt,1,AN,1,"A,N",9,0.8333333333333334,9,0.8333333333333334,A,N,0.8333333333333334,0.8333333333333334,,,,0.43796685625609855,0.5620331437439012,"A,N",0.5613432229424044,0.4386567770575957,"A,N"
seed2_AN.txt,2,AN,2,"A,N",14,0.8333333333333334,14,0.8285714285714285,A,N,0.6666666666666666,1.0,,,,0.3416099540338803,0.6583900459661197,"A,N",0.6126628874247841,0.3873371125752158,"A,N"
seed3_AN.txt,3,AN,3,"A,N",21,0.9166666666666666,21,0.916083916083916,A,N,1.0,0.8571428571428571,,,,0.29866083262933685,0.701339167370663,"A,N",0.6111302410025701,0.3888697589974301,"A,N"
seed4_AN.txt,4,AN,4,"A,N",13,0.9166666666666666,13,0.916083916083916,A,N,1.0,0.8571428571428571,,,,0.3905586486069437,0.6094413513930563,"A,N",0.6903658091559209,0.30963419084407917,"A,N"
seed0_RA.txt,0,RA,0,"R,A",10,0.5833333333333334,10,0.5555555555555556,R,A,0.2857142857142857,1.0,0.35400471930337335,0.6459952806966266,"R,A",,,,0.22893066346456709,0.7710693365354327,"R,A"
seed1_RA.txt,1,RA,1,"R,A",8,0.75,8,0.7482517482517483,R,A,0.8333333333333334,0.6666666666666666,0.5319302050713994,0.46806979492860074,"R,A",,,,0.539819300491625,0.4601806995083749,"R,A"
seed2_RA.txt,2,RA,2,"R,A",11,0.6666666666666666,25,0.6571428571428571,R,A,0.625,0.75,0.6138683357630266,0.38613166423697326,"R,A",,,,0.3599511828365823,0.6400488171634177,"R,A"
seed3_RA.txt,3,RA,3,"R,A",12,0.9166666666666666,12,0.9111111111111111,R,A,1.0,0.8,0.7670375359594457,0.23296246404055426,"R,A",,,,0.414432730550188,0.5855672694498121,"R,A"
seed4_RA.txt,4,RA,4,"R,A",19,0.75,19,0.7333333333333334,R,A,0.8571428571428571,0.6,0.7858391285294553,0.21416087147054472,"R,A",,,,0.46682311376334806,0.5331768862366519,"R,A"
seed0_RN.txt,0,RN,0,"R,N",8,1.0,8,1.0,R,N,1.0,1.0,0.7335916992389913,0.26640830076100874,"R,N",0.362073055189149,0.6379269448108511,"R,N",,,
seed1_RN.txt,1,RN,1,"R,N",18,0.8333333333333334,18,0.8333333333333334,R,N,0.7142857142857143,1.0,0.606306827237939,0.3936931727620609,"R,N",0.12665249527558436,0.8733475047244157,"R,N",,,
seed2_RN.txt,2,RN,2,"R,N",23,1.0,23,1.0,R,N,1.0,1.0,0.895678526523231,0.10432147347676934,"R,N",0.2651789876320821,0.734821012367918,"R,N",,,
seed3_RN.txt,3,RN,3,"R,N",19,0.9166666666666666,19,0.916083916083916,R,N,0.8571428571428571,1.0,0.7420274547415369,0.2579725452584631,"R,N",0.20604502089808627,0.7939549791019137,"R,N",,,
seed4_RN.txt,4,RN,4,"R,N",13,1.0,13,1.0,R,N,1.0,1.0,0.8343677799184265,0.16563222008157347,"R,N",0.32772356147640935,0.6722764385235905,"R,N",,,
