seed,probe_file,tfidf_file,best_layer_acc,best_acc,best_layer_macrof1,best_macrof1,recall_R,recall_N,recall_A,meanA_PR,meanA_PN,meanA_PA,tfidf_acc,tfidf_macrof1,tfidf_recall_R,tfidf_recall_N,tfidf_recall_A,tfidf_meanA_PR,tfidf_meanA_PN,tfidf_meanA_PA
0,seed0_probe3class.txt,seed0_tfidf.txt,,,17,0.5833333333333334,0.6,1.0,0.4,0.3345889210199374,0.3054904737512867,0.359920605228776,0.16666666666666666,0.1574074074074074,0.2,0.6666666666666666,0.0,0.3493965888163595,0.4350527882082453,0.21555062297539543
1,seed1_probe3class.txt,seed1_tfidf.txt,,,11,0.6501089324618736,0.6,1.0,0.5,0.2459085573097379,0.42128095315114095,0.3328104895391212,0.05555555555555555,0.05555555555555555,0.1,0.0,0.0,0.2757907168613815,0.40456465420409543,0.3196446289345231
2,seed2_probe3class.txt,seed2_tfidf.txt,,,20,0.5474747474747474,1.0,0.4444444444444444,0.25,0.31185629941534737,0.38050414517831826,0.3076395554063343,0.1111111111111111,0.09999999999999999,0.2,0.0,0.25,0.3765765171289976,0.26651981844709327,0.35690366442390925
3,seed3_probe3class.txt,seed3_tfidf.txt,,,13,0.6406186406186406,0.5714285714285714,0.8,0.5,0.3600798323046814,0.23533080523265232,0.40458936246266614,0.2222222222222222,0.19413919413919412,0.0,0.6,0.16666666666666666,0.2945054763925139,0.3830249065026206,0.32246961710486544
4,seed4_probe3class.txt,seed4_tfidf.txt,,,30,0.38990638990638987,0.2857142857142857,0.4,1.0,0.002760829549794105,0.0010708235247539665,0.996168346925452,0.05555555555555555,0.03508771929824561,0.0,0.0,1.0,0.33198844012934126,0.21562919467204225,0.45238236519861635
