model,n_joined,n_rn,spearman_rn_margin_r,spearman_rn_margin_p,pearson_rn_margin_r,spearman_p3N_r,spearman_p3N_p,pearson_p3N_r
qwen,60,40,0.4475,0.0038,0.5033,0.2346,0.0712,0.2157
gemma,60,40,0.3856,0.014,0.3866,0.2813,0.0294,0.1975
llama,60,40,0.3975,0.0111,0.3614,0.3561,0.0052,0.2507
