file,seed_file,pair_file,seed_log,pair_log,best_layer_acc,best_acc,best_layer_macrof1,best_macrof1,recall_label_0,recall_label_1,recall_0,recall_1,meanprob_TRUE_R_P0,meanprob_TRUE_R_P1,meanprob_TRUE_R_order,meanprob_TRUE_N_P0,meanprob_TRUE_N_P1,meanprob_TRUE_N_order,meanprob_TRUE_A_P0,meanprob_TRUE_A_P1,meanprob_TRUE_A_order
seed0_AN.txt,0,AN,0,"A,N",18,0.8333333333333334,18,0.8333333333333334,A,N,0.8333333333333334,0.8333333333333334,,,,0.3239823760794336,0.6760176239205664,"A,N",0.8063978784365637,0.19360212156343615,"A,N"
seed1_AN.txt,1,AN,1,"A,N",23,0.9166666666666666,23,0.916083916083916,A,N,1.0,0.8333333333333334,,,,0.3078770571948264,0.6921229428051736,"A,N",0.8765030136597404,0.12349698634025935,"A,N"
seed2_AN.txt,2,AN,2,"A,N",21,0.9166666666666666,21,0.916083916083916,A,N,1.0,0.8333333333333334,,,,0.21930352459237193,0.7806964754076282,"A,N",0.8465475081267821,0.15345249187321783,"A,N"
seed3_AN.txt,3,AN,3,"A,N",22,0.9166666666666666,22,0.9111111111111111,A,N,0.8,1.0,,,,0.19790054749698655,0.8020994525030135,"A,N",0.7307062521582314,0.2692937478417685,"A,N"
seed4_AN.txt,4,AN,4,"A,N",35,1.0,35,1.0,A,N,1.0,1.0,,,,0.1952310092341583,0.8047689907658419,"A,N",0.8328914406704808,0.16710855932951926,"A,N"
seed0_RA.txt,0,RA,0,"R,A",18,0.75,18,0.7482517482517483,R,A,0.5714285714285714,1.0,0.5471866978096752,0.4528133021903248,"R,A",,,,0.10035786836999382,0.8996421316300062,"R,A"
seed1_RA.txt,1,RA,1,"R,A",10,0.75,10,0.7482517482517483,R,A,0.8333333333333334,0.6666666666666666,0.7998772973833176,0.2001227026166825,"R,A",,,,0.3936662340795852,0.6063337659204149,"R,A"
seed2_RA.txt,2,RA,2,"R,A",20,0.8333333333333334,20,0.8285714285714285,R,A,0.75,1.0,0.735303554255265,0.2646964457447349,"R,A",,,,0.12638695778841583,0.8736130422115842,"R,A"
seed3_RA.txt,3,RA,3,"R,A",1,0.9166666666666666,1,0.916083916083916,R,A,0.8571428571428571,1.0,0.6193028784570944,0.3806971215429055,"R,A",,,,0.3457545352030794,0.6542454647969206,"R,A"
seed4_RA.txt,4,RA,4,"R,A",9,0.75,10,0.7333333333333334,R,A,0.8571428571428571,0.6,0.8111139379763133,0.18888606202368682,"R,A",,,,0.4286717721050474,0.5713282278949524,"R,A"
seed0_RN.txt,0,RN,0,"R,N",2,1.0,2,1.0,R,N,1.0,1.0,0.835349475352066,0.1646505246479339,"R,N",0.11342705899077175,0.8865729410092285,"R,N",,,
seed1_RN.txt,1,RN,1,"R,N",1,0.75,1,0.7482517482517483,R,N,0.7142857142857143,0.8,0.595380479816785,0.4046195201832148,"R,N",0.22376888162948763,0.7762311183705123,"R,N",,,
seed2_RN.txt,2,RN,2,"R,N",18,0.9166666666666666,18,0.916083916083916,R,N,1.0,0.8333333333333334,0.9736048529692923,0.02639514703070765,"R,N",0.244758284893837,0.755241715106163,"R,N",,,
seed3_RN.txt,3,RN,3,"R,N",18,1.0,18,1.0,R,N,1.0,1.0,0.9187460999163232,0.08125390008367679,"R,N",0.10229854642662396,0.8977014535733759,"R,N",,,
seed4_RN.txt,4,RN,4,"R,N",24,1.0,24,1.0,R,N,1.0,1.0,0.9916987671022982,0.008301232897701804,"R,N",0.12119036753414658,0.8788096324658534,"R,N",,,
