seed,file,embed_shape_dim,acc,macrof1,recall_R,recall_N,recall_A,meanA_PR,meanA_PN,meanA_PA
0,seed0_sentence_embed_baseline.txt,384,0.3333333333333333,0.3272727272727273,0.6,0.6666666666666666,0.1,0.40664841209073294,0.3225838015377887,0.27076778637147847
1,seed1_sentence_embed.txt,384,0.3888888888888889,0.4407407407407407,0.1,1.0,0.5,0.24041342805532837,0.3506267269911481,0.4089598449535236
2,seed2_sentence_embed.txt,384,0.3888888888888889,0.4163614163614164,0.6,0.3333333333333333,0.25,0.30144488342355635,0.38356910946080097,0.3149860071156425
3,seed3_sentence_embed.txt,384,0.7777777777777778,0.7696969696969697,0.42857142857142855,1.0,1.0,0.2647919324474873,0.27596511708253135,0.4592429504699813
4,seed4_sentence_embed.txt,384,0.2777777777777778,0.29004329004329005,0.42857142857142855,0.1,1.0,0.21382567128925586,0.1843781445769985,0.6017961841337456
