task_id,family_id,label,repeat,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F01_R,F01,R,0,8,-4.0555739799484485,0.017030470839040118,0.0033317516123771355,0.011238616076586343
F01_N,F01,N,0,8,2.5721286297161554,0.92904614214002,0.9162340885134622,0.027781348017521208
F01_A,F01,A,0,8,,,0.00767780817812028,0.030500115421750462
F01_R,F01,R,1,8,-4.0555739799484485,0.017030470839040118,0.0033317516123771355,0.011238616076586343
F01_N,F01,N,1,8,2.5721286297161554,0.92904614214002,0.9162340885134622,0.027781348017521208
F01_A,F01,A,1,8,,,0.00767780817812028,0.030500115421750462
F01_R,F01,R,2,8,-4.0555739799484485,0.017030470839040118,0.0033317516123771355,0.011238616076586343
F01_N,F01,N,2,8,2.5721286297161554,0.92904614214002,0.9162340885134622,0.027781348017521208
F01_A,F01,A,2,8,,,0.00767780817812028,0.030500115421750476
F02_R,F02,R,0,8,-4.389174563324115,0.012258825553310884,0.005637249617657531,0.0043500889806188155
F02_N,F02,N,0,8,1.6542210887100215,0.839460726855931,0.20848204327450248,0.7682873148154606
F02_A,F02,A,0,8,,,0.2899328196793128,0.7079836859786878
F02_R,F02,R,1,8,-4.389174563324115,0.012258825553310884,0.005637249617657531,0.0043500889806188155
F02_N,F02,N,1,8,1.6542210887100215,0.839460726855931,0.20848204327450248,0.7682873148154606
F02_A,F02,A,1,8,,,0.2899328196793128,0.7079836859786878
F02_R,F02,R,2,8,-4.389174563324115,0.012258825553310884,0.005637249617657531,0.0043500889806188155
F02_N,F02,N,2,8,1.6542210887100215,0.839460726855931,0.20848204327450248,0.7682873148154606
F02_A,F02,A,2,8,,,0.2899328196793128,0.7079836859786877
F03_R,F03,R,0,8,-3.6218562281138915,0.026036961550527784,0.011934901896443886,0.28717734044407095
F03_N,F03,N,0,8,1.2564651390745276,0.7784170010174912,0.6056718050192651,0.3574722712897663
F03_A,F03,A,0,8,,,0.1260579973608157,0.45150112378320323
F03_R,F03,R,1,8,-3.6218562281138915,0.026036961550527784,0.011934901896443886,0.28717734044407095
F03_N,F03,N,1,8,1.2564651390745276,0.7784170010174912,0.6056718050192651,0.3574722712897663
F03_A,F03,A,1,8,,,0.1260579973608157,0.45150112378320323
F03_R,F03,R,2,8,-3.6218562281138915,0.026036961550527784,0.011934901896443886,0.28717734044407095
F03_N,F03,N,2,8,1.2564651390745276,0.7784170010174912,0.6056718050192651,0.3574722712897663
F03_A,F03,A,2,8,,,0.1260579973608157,0.45150112378320323
F04_R,F04,R,0,8,-1.6404510473127978,0.16240369784142783,0.05010518608969941,0.43176564910753473
F04_N,F04,N,0,8,3.148319046621981,0.958842436437695,0.7344756745995896,0.25837453066715355
F04_A,F04,A,0,8,,,0.1136685839801965,0.5879337433705302
F04_R,F04,R,1,8,-1.6404510473127978,0.16240369784142783,0.05010518608969941,0.43176564910753473
F04_N,F04,N,1,8,3.148319046621981,0.958842436437695,0.7344756745995896,0.25837453066715355
