task_id,family_id,label,repeat,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F01_R,F01,R,0,13,-9.215752385337655,9.945036916027474e-05,1.0264749276617344e-05,8.403379608538784e-05
F01_N,F01,N,0,13,6.238298659497985,0.9980506317441294,0.7448361319990517,0.252992502440506
F01_A,F01,A,0,13,,,0.006804459577931512,0.03580510069609351
F01_R,F01,R,1,13,-9.215752385337655,9.945036916027474e-05,1.0264749276617344e-05,8.403379608538784e-05
F01_N,F01,N,1,13,6.238298659497985,0.9980506317441294,0.7448361319990517,0.252992502440506
F01_A,F01,A,1,13,,,0.006804459577931512,0.03580510069609351
F01_R,F01,R,2,13,-9.215752385337655,9.945036916027474e-05,1.0264749276617344e-05,8.403379608538784e-05
F01_N,F01,N,2,13,6.238298659497985,0.9980506317441294,0.7448361319990517,0.252992502440506
F01_A,F01,A,2,13,,,0.006804459577931512,0.03580510069609351
F02_R,F02,R,0,13,-6.022101551811259,0.0024187045642554868,0.00293308925530961,0.0034944385598990545
F02_N,F02,N,0,13,5.451476551027335,0.9957283595321624,0.01683416972771303,0.9831620539611945
F02_A,F02,A,0,13,,,0.6808932029115573,0.3190977341155178
F02_R,F02,R,1,13,-6.022101551811259,0.0024187045642554868,0.00293308925530961,0.0034944385598990545
F02_N,F02,N,1,13,5.451476551027335,0.9957283595321624,0.01683416972771303,0.9831620539611945
F02_A,F02,A,1,13,,,0.6808932029115573,0.3190977341155178
F02_R,F02,R,2,13,-6.022101551811259,0.0024187045642554868,0.00293308925530961,0.0034944385598990545
F02_N,F02,N,2,13,5.451476551027335,0.9957283595321624,0.01683416972771303,0.9831620539611945
F02_A,F02,A,2,13,,,0.6808932029115575,0.3190977341155176
F03_R,F03,R,0,13,-5.636556860243703,0.0035524575664282578,0.0016102230774527903,0.01641982138974802
F03_N,F03,N,0,13,3.0741713069896845,0.9558146744810965,0.8976016623618469,0.09697220929241104
F03_A,F03,A,0,13,,,0.17908191586412336,0.5556681487838782
F03_R,F03,R,1,13,-5.636556860243703,0.0035524575664282578,0.0016102230774527903,0.01641982138974802
F03_N,F03,N,1,13,3.0741713069896845,0.9558146744810965,0.8976016623618469,0.09697220929241104
F03_A,F03,A,1,13,,,0.17908191586412336,0.5556681487838782
F03_R,F03,R,2,13,-5.636556860243703,0.0035524575664282578,0.0016102230774527903,0.01641982138974802
F03_N,F03,N,2,13,3.0741713069896845,0.9558146744810965,0.8976016623618469,0.09697220929241104
F03_A,F03,A,2,13,,,0.17908191586412334,0.5556681487838783
F04_R,F04,R,0,13,-3.276338915670002,0.03639188382004562,0.02077823900743195,0.1181844718199057
F04_N,F04,N,0,13,2.1390140820897043,0.8946377129470237,0.7167518578261199,0.24246745868036837
F04_A,F04,A,0,13,,,0.017707672524661388,0.7933764032444581
F04_R,F04,R,1,13,-3.276338915670002,0.03639188382004562,0.02077823900743195,0.1181844718199057
F04_N,F04,N,1,13,2.1390140820897043,0.8946377129470237,0.7167518578261199,0.24246745868036837
F04_A,F04,A,1,13,,,0.017707672524661388,0.7933764032444581
F04_R,F04,R,2,13,-3.276338915670002,0.03639188382004562,0.02077823900743195,0.1181844718199057
F04_N,F04,N,2,13,2.1390140820897043,0.8946377129470237,0.7167518578261199,0.24246745868036837
F04_A,F04,A,2,13,,,0.017707672524661395,0.7933764032444581
F05_R,F05,R,0,13,-8.27723155699932,0.000254175454221667,1.7115114175926605e-05,0.0005710546238589841
F05_N,F05,N,0,13,2.3865313252637836,0.9157944668804394,0.8512928962219326,0.09942802769395957
F05_A,F05,A,0,13,,,0.0014659406443352208,0.10062450175165695
F05_R,F05,R,1,13,-8.27723155699932,0.000254175454221667,1.7115114175926605e-05,0.0005710546238589841
F05_N,F05,N,1,13,2.3865313252637836,0.9157944668804394,0.8512928962219326,0.09942802769395957
F05_A,F05,A,1,13,,,0.0014659406443352208,0.10062450175165695
F05_R,F05,R,2,13,-8.27723155699932,0.000254175454221667,1.7115114175926605e-05,0.0005710546238589841
F05_N,F05,N,2,13,2.3865313252637836,0.9157944668804394,0.8512928962219326,0.09942802769395957
F05_A,F05,A,2,13,,,0.0014659406443352208,0.10062450175165699
F06_R,F06,R,0,13,-4.367396866128745,0.012525342192268448,0.001741986736539672,0.898896840680036
F06_N,F06,N,0,13,6.6467248904563885,0.9987034161948611,0.990867112730528,0.00910086766745386
F06_A,F06,A,0,13,,,0.004545072270895567,0.9728476480061365
F06_R,F06,R,1,13,-4.367396866128745,0.012525342192268448,0.001741986736539672,0.898896840680036
