task_id,family_id,label,repeat,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F01_R,F01,R,0,10,-1.1779394625721344,0.23542288859215824,0.10621332725007801,0.1275467941166539
F01_N,F01,N,0,10,2.4983199594915613,0.9240239589380079,0.7123471680937447,0.2633552607287436
F01_A,F01,A,0,10,,,0.4086589238821566,0.27129356485177947
F01_R,F01,R,1,10,-1.1779394625721344,0.23542288859215824,0.10621332725007801,0.1275467941166539
F01_N,F01,N,1,10,2.4983199594915613,0.9240239589380079,0.7123471680937447,0.2633552607287436
F01_A,F01,A,1,10,,,0.4086589238821566,0.27129356485177947
F01_R,F01,R,2,10,-1.1779394625721344,0.23542288859215824,0.10621332725007801,0.1275467941166539
F01_N,F01,N,2,10,2.4983199594915613,0.9240239589380079,0.7123471680937447,0.2633552607287436
F01_A,F01,A,2,10,,,0.4086589238821566,0.27129356485177947
F02_R,F02,R,0,10,-2.023750325773929,0.11673175568778553,0.03387674745935643,0.05857680220082104
F02_N,F02,N,0,10,1.5422537358656432,0.8237921132859649,0.4178356272435223,0.5310762083369416
F02_A,F02,A,0,10,,,0.7558760079104857,0.2366455794379422
F02_R,F02,R,1,10,-2.023750325773929,0.11673175568778553,0.03387674745935643,0.05857680220082104
F02_N,F02,N,1,10,1.5422537358656432,0.8237921132859649,0.4178356272435223,0.5310762083369416
F02_A,F02,A,1,10,,,0.7558760079104857,0.2366455794379422
F02_R,F02,R,2,10,-2.023750325773929,0.11673175568778553,0.03387674745935643,0.05857680220082104
F02_N,F02,N,2,10,1.5422537358656432,0.8237921132859649,0.4178356272435223,0.5310762083369416
F02_A,F02,A,2,10,,,0.7558760079104857,0.23664557943794218
F03_R,F03,R,0,10,-1.8328037751631217,0.13790460243507352,0.058430778733412174,0.16333009642946092
F03_N,F03,N,0,10,1.0818313523994942,0.7468403933050314,0.593906747812641,0.3261034077970391
F03_A,F03,A,0,10,,,0.1663958240650619,0.4534124470231694
F03_R,F03,R,1,10,-1.8328037751631217,0.13790460243507352,0.058430778733412174,0.16333009642946092
F03_N,F03,N,1,10,1.0818313523994942,0.7468403933050314,0.593906747812641,0.3261034077970391
F03_A,F03,A,1,10,,,0.1663958240650619,0.4534124470231694
F03_R,F03,R,2,10,-1.8328037751631217,0.13790460243507352,0.058430778733412174,0.16333009642946092
F03_N,F03,N,2,10,1.0818313523994942,0.7468403933050314,0.593906747812641,0.3261034077970391
F03_A,F03,A,2,10,,,0.16639582406506193,0.4534124470231694
F04_R,F04,R,0,10,-0.8238966256867614,0.30493714102279446,0.1692220036395517,0.3707117788150041
F04_N,F04,N,0,10,1.4144555239680097,0.8044677457225918,0.6926751636559562,0.24806940119580148
F04_A,F04,A,0,10,,,0.2941582674585635,0.4509636320256699
F04_R,F04,R,1,10,-0.8238966256867614,0.30493714102279446,0.1692220036395517,0.3707117788150041
F04_N,F04,N,1,10,1.4144555239680097,0.8044677457225918,0.6926751636559562,0.24806940119580148
F04_A,F04,A,1,10,,,0.2941582674585635,0.4509636320256699
F04_R,F04,R,2,10,-0.8238966256867614,0.30493714102279446,0.1692220036395517,0.3707117788150041
F04_N,F04,N,2,10,1.4144555239680097,0.8044677457225918,0.6926751636559562,0.24806940119580148
F04_A,F04,A,2,10,,,0.2941582674585635,0.4509636320256699
